label,message
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Alarm Callers. Press *9 to copy your friends Callertune"
spam,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
spam,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with unlimited calls for just £8/mth! Call The Mobile Update Co FREE on 08002986030"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TssC apply Reply HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW"
ham,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times."
ham,"I TORTURE UR TORTURE UR TORTURE UR TORTURE UR TORTURE UR TORTURE UR TORTURE UR TORTURE UR TORTURE UR TORTURE UR TORTURE UR"
spam,"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged"
ham,"Yes, princess. Are you going to make me moan?"
ham,"Welp apparently he retired"
ham,"Havent."
spam,"FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur telemates :) ProdNr: E0E9RR10 Cost £3.00 pw SA3ZJ"
ham,"Are you coming today for the presentation?"
ham,"The guy did some bitching but nothing serious and he didn't disconnect yet"
ham,"Yes, I got it. I deleted the unused cells, but I can't figure out how to delete the unused sheets. I've tried right clicking and I don't get a delete option."
spam,"07732584351 - Rodger Burns - MSG = We tried to contact you, but unable, regarding an urgent delivery from AMAZON"
ham,"Okay, let me know when you're done"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Supp PO Box 1960. cost £1.50 pm. you are opted in. Reply Stop to stop these"
ham,"Did you catch the bus?"
ham,"I dont understand, wats LIW?"
ham,"Oh k...i'm telecast it.."
spam,"As a valued Vodafone customer, we are pleased to inform you that you're eligible to receive a refund of £25. Please call 0845 021 3680!"
ham,"why there again?"
ham,"Thanks for the reply. And yeah, I love him so much."
spam,"Win £100 guaranteed! Txt YES to 13404 to get started! Age valid only. T&C Apply. 1 entry 150p"
ham,"Great! I hope we can make something really nice today"
ham,"Hey so the next seminar is on Friday at 3pm. Will you be coming?"
ham,"What you doing? How are you?"
ham,"K, I'll see you there at 7"
spam,"SMS. ac Sptv: The Ryder Cup Commercial Gtr 2006. Pls call 08712402902 answer 4 easy quiz questions and opt in to receive our exclusive offers."
ham,"Watching that game tonight?"
ham,"i send my love and miss you so much. talk to you later hunny."
spam,"You have won 2 FREE movie tickets! Reply OK to this message to claim your prize"
ham,"Going to finish work at 5. Want me to pick u up?"
ham,"Yes, I will come tomorrow."
spam,"URGENT: Your prize of £500 is waiting! Call now on 0800-PRIZE to collect. Winners must call within 24 hours"
ham,"Sorry, I missed your call. Was in a meeting. Calling you back now."
ham,"Have a great day at work today!"
spam,"Congratulations ur awarded 500 of CD vouchers: 100 CD's £1500 vouchers to claim call 08712300220 quote C84512 for claim only"
ham,"Where are you? I've been waiting for 20 minutes"
ham,"That was a really good movie, thanks for recommending it"
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange Tariffs. Limited offer! To claim call MobileUpd8 on 08000839402. No subscription. Terms apply"
ham,"Can you please send me the report by end of day?"
ham,"I'll be there in 10 minutes"
spam,"FREE monthly ringtone! Reply JOT to this message and receive exclusive tones every week!"
ham,"Thanks for dinner last night, it was delicious!"
ham,"Meeting postponed to next Tuesday"
ham,"Happy Birthday! Hope you have an amazing day!"
spam,"You have been selected for a cash prize of £1000! Send your details to claim. Reply NOW!"
ham,"Just landed. Will catch a taxi and be there soon"
ham,"Can you pick up some milk on your way home?"
ham,"I'll call you after the meeting"
spam,"Free video chat! Hot singles waiting to meet you! Text CHAT to 69696 now!"
ham,"Thanks for helping me move last weekend"
ham,"See you tomorrow at the gym"
ham,"I'm running late, traffic is terrible"
spam,"WINNER! Claim your FREE vacation package worth $5000! Call 1-800-HOLIDAY now!"
ham,"Don't forget mom's birthday on Saturday"
ham,"Lunch at noon?"
ham,"The package arrived safely, thanks!"
spam,"Last chance! Your account qualifies for a FREE iPhone! Click here to claim before offer expires!"
ham,"I really enjoyed our conversation yesterday"
ham,"Are you feeling better today?"
ham,"Movie starts at 8, don't be late!"
spam,"You've been specially selected! Win a brand new car! Reply WIN to 55555"
ham,"Thanks for the feedback on my project"
ham,"See you at the party tonight!"
ham,"Can you water my plants while I'm away?"
spam,"Exclusive offer: Double your money! Limited time investment opportunity! Call now!"
ham,"Happy anniversary! Love you lots!"
ham,"The kids made it to school safely"
ham,"What time should I pick you up?"
spam,"Your lottery ticket has won! Claim your $10,000 prize now! Send bank details to verify."
ham,"Game night on Friday, you in?"
ham,"Sorry for the late reply, was super busy"
ham,"I'll send you the photos tomorrow"
spam,"HOT: Get rich quick! Work from home and earn $5000/week! No experience needed!"
ham,"Thanks for being such a great friend"
ham,"Flight lands at 3pm, see you at arrivals"
ham,"Good luck on your exam today!"
spam,"ALERT: Your phone has a virus! Call tech support immediately at 1-800-SCAM-NOW"
ham,"Coffee tomorrow morning?"
ham,"Just wanted to check if you're okay"
ham,"I'll email you the documents later"
spam,"You're our millionth visitor! Click here to claim your secret prize NOW!"
ham,"Thanks for the birthday wishes everyone!"
ham,"Want to go hiking this weekend?"
ham,"My train is delayed by 30 minutes"
spam,"Earn $1000 daily from home! Join our network marketing team today!"
ham,"The meeting went really well"
ham,"I miss you, call me when you can"
ham,"Dinner at 7?"
